Anti-Hero;Taylor Swift;antihero.jpg;1;1;1;12;6-4-3-2-1-1-1-1-1-1-1-1
I'm Good (Blue);David Guetta & Bebe Rexha;imgood.jpg;4;4;4;3;6-4-4
Creepin';Metro Boomin, The Weeknd & 21 Savage;creepin.jpg;5;6;5;4;8-7-6-5
Die For You;The Weeknd;dieforyou.jpg;6;8;6;5;10-9-8-8-6
Rich Flex;Drake & 21 Savage;richflex.jpg;7;5;2;10;8-4-3-2-1-1-1-4-5-7
As It Was;Harry Styles;asitwas.jpg;8;7;1;12;8-4-3-2-1-1-1-4-5-6-7-8
Bad Habit;Steve Lacy;badhabit.jpg;9;9;1;1;9
Something In The Orange;Zach Bryan;stintheorange.jpg;10;11;10;2;10-10
Kill Bill;SZA;killbill.jpg;2;3;2;5;9-7-4-3-2
Unholy;Sam Smith & Kim Petras;unholy.jpg;3;2;1;8;9-8-7-3-2-1-2-3
